id,Name,test_1_precision,test_2_precision,test_3_precision,test_4_precision,test_5_precision,test_6_precision,test_7_precision,test_8_precision,test_9_precision,test_10_precision,precision_ev,test_1_recall,test_2_recall,test_3_recall,test_4_recall,test_5_recall,test_6_recall,test_7_recall,test_8_recall,test_9_recall,test_10_recall,recall_ev,test_1_F1,test_2_F1,test_3_F1,test_4_F1,test_5_F1,test_6_F1,test_7_F1,test_8_F1,test_9_F1,test_10_F1,F1_ev,test_1_accuracy,test_2_accuracy,test_3_accuracy,test_4_accuracy,test_5_accuracy,test_6_accuracy,test_7_accuracy,test_8_accuracy,test_9_accuracy,test_10_accuracy,accuracy_ev
11,S1+as,0.9628455749,0.945533621,0.6504747748,0.8641237744,0.9641298277,0.8624357718,0.5641429382,0.9843779003,0.9568894417,0.7701100652,0.8914345442,0.955032468,0.9511917014,0.6369923054,0.8007212794,0.9098933732,0.650542723,0.940411896,0.8680303306,0.6370254767,0.6864288305,0.9113162149,0.9588949127,0.948329861,0.6434133956,0.8292420529,0.9352647825,0.7111432308,0.5892331056,0.9173620678,0.7061625383,0.7198217301,0.9010796359,0.984190623,0.9683269925,0.9960390727,0.9868475596,0.9957016839,0.9856406318,0.9080666436,0.9855870141,0.9753392537,0.968006346,0.9738938226
12,S1+sl_as,0.9829348927,0.9504095032,0.7025104599,0.9073364867,0.9823600872,0.8372003802,0.5453829557,0.9903058621,0.9597924517,0.8042057831,0.8759579944,0.9500084222,0.9540817497,0.6002404189,0.7927653798,0.8865462831,0.6319116655,0.9248056091,0.8744743592,0.6517602673,0.6951942113,0.9087630869,0.9657104298,0.9522319928,0.6339433142,0.840236507,0.9289790025,0.6879494236,0.5458398355,0.9237558823,0.7239155066,0.7367085824,0.8915317883,0.987150828,0.9707853529,0.9968172709,0.9884126451,0.9954884847,0.9847490523,0.8625581529,0.9866727193,0.976307763,0.9707864126,0.9708619859
13,S1+(el_sl),0.9456165891,0.9000842319,0.9985426781,0.506678026,0.9662979507,0.9788929546,0.4927358598,0.9671697706,0.9834290003,0.9731834115,0.5542554233,0.500217169,0.5082707882,0.5001817125,0.5001153219,0.5574740296,0.5004749452,0.4777367485,0.5046075124,0.5004408467,0.5355860677,0.5045316123,0.4716786203,0.4653893612,0.4996335685,0.4950466049,0.5985743189,0.4964532612,0.485120395,0.4958466183,0.4924558043,0.558108814,0.4939821146,0.8912383185,0.8156704373,0.9970853594,0.9781083001,0.9840026432,0.982176039,0.9422016144,0.9482409159,0.9668589698,0.9674705929,0.9273927265
14,S1+(el_as),0.9788147925,0.9374442446,0.622707169,0.8749574356,0.9714160991,0.6746946697,0.766692637,0.9863808841,0.9584653003,0.6690517139,0.9402271774,0.8822048984,0.9193496556,0.5039622849,0.7320046097,0.8330582268,0.5539200198,0.9845474966,0.8664555093,0.560351541,0.6238742324,0.8671053823,0.9235318513,0.9280528609,0.507004077,0.7858481529,0.8899180966,0.5804584229,0.8425503421,0.917033702,0.599746371,0.6424731623,0.899784799,0.9732869466,0.9570757548,0.9970370399,0.9853642782,0.9933736589,0.9806948768,0.9878285726,0.985581292,0.9706132677,0.9581580692,0.9763355679
15,L8SR+(el_sl_as),0.9922615703,0.9557256128,0.9985495458,0.9666661891,0.9907147027,0.951752183,0.9998331472,0.9887100156,0.9935312559,0.9689506734,0.9722204912,0.968526655,0.9822729515,0.5025439744,0.7866534381,0.9069122903,0.8578007134,0.9995324001,0.9555528478,0.9547601384,0.8135374669,0.9629066997,0.9800098708,0.9682976903,0.5043359121,0.8542609472,0.9447596794,0.8991218804,0.9996827271,0.9714784436,0.9732959401,0.87471559,0.967509008,0.9924324883,0.9801207648,0.9970991347,0.9900671641,0.9964368608,0.993663364,0.9999826219,0.9945432875,0.996708764,0.985874176,0.9917204963
16,L8SR+el,0.9867276235,0.94659628,0.9761423186,0.9693539727,0.9841270162,0.9141220389,0.9998265531,0.9816283065,0.9898252913,0.8861781122,0.9641770926,0.9824488778,0.9740574934,0.6346664636,0.8575625863,0.9351206785,0.8990130626,0.9990746853,0.9647379464,0.9644028354,0.8465149937,0.9703964975,0.9845757874,0.9595570496,0.7095358268,0.9055695547,0.9582686986,0.9064213984,0.999450328,0.9730136843,0.9767506627,0.8651799269,0.9672623558,0.9940435621,0.9745989905,0.9978321923,0.9929805332,0.9972061581,0.993560791,0.9999699063,0.994749705,0.9970948961,0.982735316,0.9915181478
17,L8SR+sl,0.9932122699,0.9533171892,0.9986234117,0.9780387831,0.9918037008,0.9279599806,0.9995703151,0.9910874103,0.994927614,0.9328761871,0.9711933267,0.9791600152,0.9779018328,0.5279473761,0.8615482261,0.9387468904,0.8966958371,0.9998032679,0.9589002146,0.9679895904,0.8360850903,0.969165857,0.9860527331,0.9650038555,0.5522466695,0.9113612133,0.9637067526,0.9117115451,0.9996867636,0.9743822836,0.9810544322,0.8779152611,0.9701770166,0.9946670532,0.9780991872,0.9972472721,0.9934315152,0.9975787269,0.9940378401,0.9999828339,0.9950930278,0.9976357354,0.985356013,0.9923412535
18,L8SR+as,0.9897702447,0.9451850031,0.9804209,0.9680124492,0.9872228539,0.923677226,0.9998038399,0.9859192797,0.9912205656,0.9652375308,0.9656228136,0.9773785031,0.9805693147,0.6498958805,0.8560173628,0.9301233459,0.8946285287,0.9996158846,0.9618788552,0.9672649342,0.8414563365,0.971553543,0.9834699361,0.9615936869,0.7281133967,0.9040692834,0.9568301469,0.9086165018,0.9997098441,0.9735567019,0.9789215163,0.8931534797,0.9685660232,0.993669298,0.9756613837,0.9979248047,0.9928735097,0.9971341027,0.9938144684,0.9999841054,0.9948929681,0.9973619249,0.9874871572,0.9918585883
19,L8SR+(sl_as),0.9919378077,0.9486890171,0.9947103912,0.9801912194,0.9913151946,0.9334849803,0.9997062544,0.9899436035,0.9941849643,0.9650033735,0.9710836847,0.9735534012,0.958062275,0.5498607295,0.8059513898,0.9265501136,0.8820638673,0.9997212878,0.9545032696,0.9590843703,0.8327018944,0.95608782,0.9825158378,0.9532864357,0.5899570675,0.8729669099,0.9565637715,0.9060897851,0.999713771,0.9714778175,0.9759417363,0.8870825493,0.963443113,0.9933446248,0.9712479909,0.9973727332,0.9912204742,0.9971387651,0.9938078986,0.9999843174,0.9945557912,0.9970232646,0.9869153765,0.9907412423
20,L8SR+(el_sl),0.9882766877,0.9523467259,0.9985448969,0.9744853632,0.9898151137,0.9455190505,0.9999835507,0.9868723439,0.9929611575,0.9755962254,0.9694965371,0.9658980328,0.9798710224,0.5009449048,0.8341251343,0.9025032976,0.8512246737,0.999374349,0.9550385577,0.9450637357,0.804576258,0.9619364976,0.976742957,0.9653476955,0.5011576332,0.8916031006,0.9417328321,0.8925830245,0.9996787588,0.9703518536,0.9677018892,0.8700404017,0.9656803845,0.9911850823,0.9782428741,0.9970898098,0.9922042423,0.9962569343,0.9932664235,0.99998241,0.9943205516,0.9960577223,0.9855910407,0.9912385517
21,L8SR+(el_as),0.9895133921,0.9459653032,0.8839052419,0.9618498878,0.9867364745,0.9287814918,0.9995514241,0.9860439056,0.9917904122,0.9334809718,0.9653708077,0.971978205,0.9801329207,0.5043936156,0.8387048464,0.9159171902,0.8695263578,0.9995589385,0.9574899222,0.9565640299,0.8356916597,0.9667723904,0.9805357285,0.9618550574,0.5079701608,0.8903905446,0.9484465995,0.8968685653,0.9995551813,0.9712819375,0.9734755897,0.8778874254,0.9660703557,0.9925850762,0.9758614434,0.9971023136,0.9919829898,0.9966288673,0.9932704502,0.9999756283,0.9944799211,0.9967191484,0.9853689406,0.9912547006
22,L8SR+(S1_as),0.9915524748,0.9471276212,0.9557288035,0.979825628,0.9930899482,0.9492808526,0.9997794052,0.992142697,0.9949120342,0.9374516944,0.9677404638,0.9651301305,0.9785332913,0.5271040596,0.805263452,0.9018683941,0.8318333657,0.9995087621,0.935409345,0.9383381037,0.8101577138,0.958906148,0.9778633572,0.9618249979,0.5504928641,0.8723386119,0.9426627526,0.8814042492,0.999644046,0.9618345918,0.9647883485,0.8621528892,0.9632737051,0.9916434818,0.9759188758,0.9972275628,0.9911821153,0.9963302612,0.9927715725,0.9999805027,0.9928764767,0.9957406786,0.9840861426,0.9906372918
23,L8SR+(S1_el),0.9898170436,0.9570324939,0.9716586994,0.971365943,0.9876997828,0.9136362263,0.9986779924,0.9875352033,0.991580886,0.9547674496,0.9718801075,0.9747794677,0.9738481874,0.6514862357,0.7931560022,0.921689895,0.8933359567,0.999638124,0.9574776789,0.9603654889,0.8436346908,0.9640623363,0.9821441671,0.9651597939,0.72894758,0.860632098,0.9522108473,0.9032202671,0.999157583,0.9719700456,0.9754242062,0.8908865153,0.9679327859,0.993180169,0.9783852895,0.9979167514,0.9904566871,0.996857961,0.9933831957,0.9999537998,0.9946202172,0.9969473945,0.9870635139,0.9918154822
24,L8SR+(S1_sl),0.9908286641,0.9525904992,0.9437509382,0.934501915,0.9910180326,0.9466636195,0.9999571063,0.992343055,0.9948539224,0.9765421635,0.969990775,0.9746537964,0.9824142911,0.6555983541,0.8665534507,0.923111734,0.9121732592,0.9996638052,0.9535935337,0.9645195354,0.876604558,0.971660671,0.9825632161,0.966609294,0.7300723289,0.8975097452,0.9544501676,0.9286988293,0.9998104115,0.9720788205,0.9791724041,0.9202861351,0.9708239772,0.9933478038,0.9789822896,0.9978792402,0.992029402,0.9970099131,0.9951953888,0.9999896155,0.9946880341,0.9974100325,0.9903642866,0.9924779044
