Name,StartTime,precision,recall,F1,cloud cover
ndwi,2018-01-01,0.8539307501,0.6946108629,0.694800371,95.19466073
ndwi,2018-02-01,0.9746485811,0.935988106,0.9528330087,44.37300704
ndwi,2018-03-01,0.9727807345,0.9007694754,0.9309813247,25.89330738
ndwi,2018-04-01,0.9810174743,0.9090182537,0.9403267736,29.30394883
ndwi,2018-05-01,0.9764424685,0.8558046823,0.9038591145,22.72849462
ndwi,2018-06-01,0.9922488892,0.9509569351,0.9703200934,6.827771598
ndwi,2018-07-01,0.9826181788,0.8970788046,0.9338437984,19.56572117
ndwi,2018-08-01,0.969765627,0.9146740295,0.9377895288,59.35057471
ndwi,2018-09-01,0.9815073591,0.7168428029,0.7932915573,33.65266963
ndwi,2018-10-01,0.9719936388,0.8990597187,0.9295584101,56.89182425
ndwi,2018-11-01,0.969462353,0.5441030014,0.5799165197,83.62263626
ndwi,2018-12-01,0.9640653368,0.9128814837,0.934091003,19.33685577
ndwi,2019-01-01,0.9467300784,0.825437442,0.8662343137,31.17834631
ndwi,2019-02-01,0.9713984732,0.9227695352,0.9434473189,53.55218762
